episode,epsilon,total_reward,steps,rolling_reward_100
1712,0.6577999999999999,1.0226605888465068,10,-0.7758930023593446
1713,0.6576,-1.8475367252714208,10,-0.7400543392271396
1714,0.6574,-4.951559112581655,10,-0.7865498179006862
1715,0.6572,2.0738240813256197,10,-0.7725650080953969
1716,0.657,-4.340460978474332,10,-0.7709810053270024
1717,0.6568,3.117836072699757,10,-0.7606122603305652
1718,0.6566000000000001,-0.8954992717950313,10,-0.7270169374865061
1719,0.6564,4.044317202371598,10,-0.6805883296355114
1720,0.6562,0.5884628634558797,10,-0.6451284308290743
1721,0.656,-2.7440371932238015,10,-0.6568201121117173
1722,0.6557999999999999,0.8327861128918812,10,-0.6418923653382711
1723,0.6556,-8.527402703754019,10,-0.709099311982899
1724,0.6554,2.9303132852689724,10,-0.7007998327079986
1725,0.6552,-0.559545746436418,10,-0.6700234197158623
1726,0.655,0.5487750640649232,10,-0.6775926647527956
1727,0.6548,-2.664862412288,10,-0.7189542332618708
1728,0.6546000000000001,0.964054166601792,10,-0.7172938189073567
1729,0.6544,1.944303380177278,10,-0.7024013938407758
1730,0.6542,-1.8809861468310767,10,-0.7612140439814226
1731,0.654,1.1245236672713137,10,-0.7208664666263241
1732,0.6537999999999999,0.7454366855382196,10,-0.7081759001685671
1733,0.6536,1.1363990943627154,10,-0.6771601612209085
1734,0.6534,1.4237568979673616,10,-0.6471132486406037
1735,0.6532,-1.0524316484344576,10,-0.6153584661736917
1736,0.653,-2.829570259116881,10,-0.6710755142525308
1737,0.6528,1.5369137112250932,10,-0.6607745773841306
1738,0.6526000000000001,-3.368394765100799,10,-0.7005245662598868
1739,0.6524,-3.315860097347254,10,-0.7335026045237649
1740,0.6522,-2.5154710966388447,10,-0.7621297218897348
1741,0.652,-7.303404700735877,10,-0.8615371237807631
1742,0.6517999999999999,-2.56156167228891,10,-0.8511333671127919
1743,0.6516,1.0197349986911253,10,-0.8350099942652522
1744,0.6514,3.73576132389168,10,-0.8010070162035794
1745,0.6512,-0.5753763356147916,10,-0.810505290617876
1746,0.651,1.1043618474528505,10,-0.8095991199690726
1747,0.6508,3.9315449764229964,10,-0.7724263124365556
1748,0.6506000000000001,-0.6299092055729694,10,-0.7773665017716398
1749,0.6504,-0.6386760186067926,10,-0.7815848440465983
1750,0.6502,-1.8569357875987127,10,-0.7158871854980692
1751,0.65,-3.286858657042126,10,-0.7942185683308709
1752,0.6497999999999999,-1.9478571556915225,10,-0.7725008218511179
1753,0.6496,-0.9412533101159775,10,-0.7824221712687531
1754,0.6494,-0.4886929208632731,10,-0.7690150762140562
1755,0.6492,-3.0319127789607068,10,-0.808592481161901
1756,0.649,2.158782433775655,10,-0.795896018826152
1757,0.6488,-3.9458862659481,10,-0.8236708255743155
1758,0.6486000000000001,-4.028697169473514,10,-0.8230635702792454
1759,0.6484,0.9754347598084363,10,-0.8188088863864084
1760,0.6482,1.2209663273508378,10,-0.8245567193884572
1761,0.648,3.6891389710788496,10,-0.8011934493245534
1762,0.6477999999999999,-3.97593812251092,10,-0.8238737795865549
1763,0.6476,-2.2476782346369015,10,-0.8399396535724732
1764,0.6474,-3.877927186392302,10,-0.8437574117117609
1765,0.6472,1.1007868431974528,10,-0.8181567798357399
1766,0.647,-2.304351037059463,10,-0.8582944695438691
1767,0.6468,0.5389844816112406,10,-0.8449492261157953
1768,0.6466000000000001,-2.565533014625378,10,-0.8640159353198282
1769,0.6464,-2.032799312809897,10,-0.8413144663038029
1770,0.6462,-1.3324229612943057,10,-0.8416574010113941
1771,0.646,-1.3328802169311107,10,-0.8702670027411569
1772,0.6457999999999999,3.032582013214985,10,-0.8186586885150742
1773,0.6456,-0.6001163321408076,10,-0.829677412661782
1774,0.6454,2.3385991537581075,10,-0.7945966417436807
1775,0.6452,-7.316459148368507,10,-0.8798614157545711
1776,0.645,2.1942866357247492,10,-0.8710503042327682
1777,0.6448,2.906770206632773,10,-0.8599888511620061
1778,0.6446000000000001,-3.829410489819817,10,-0.8708795977584132
1779,0.6444,0.5268977585808128,10,-0.8466267857118652
1780,0.6442,1.3297489023924984,10,-0.8577428754939279
1781,0.644,-5.10661893532144,10,-0.8361489425593885
1782,0.6437999999999999,2.6657399597086777,10,-0.7846999225305983
1783,0.6436,-4.162555054037612,10,-0.7825001259141782
1784,0.6434,-0.34477475983395056,10,-0.7577268277588085
1785,0.6432,-1.3645907440014482,10,-0.7520313643345427
1786,0.643,-0.647922610714329,10,-0.7563619387215258
1787,0.6428,5.491008320911496,10,-0.6743385396825636
1788,0.6426000000000001,-0.8183028534145367,10,-0.7433718947891059
1789,0.6424000000000001,-0.9417186284907739,10,-0.7675346935873626
1790,0.6422,1.8715757026584816,10,-0.7739923962744751
1791,0.642,2.059672458130235,10,-0.7139708492277752
1792,0.6417999999999999,-6.363422148103984,10,-0.7796089751579689
1793,0.6416,3.6549468787623267,10,-0.7431579101460773
1794,0.6414,-2.609822819139979,10,-0.7702503195134285
1795,0.6412,0.28773147219212714,10,-0.7212666531676836
1796,0.641,-3.8938408847653596,10,-0.7550591828906732
1797,0.6408,1.3740257732968228,10,-0.6705210612064899
1798,0.6406000000000001,-2.4364204728669936,10,-0.6984006687109613
1799,0.6404000000000001,1.7951700385442442,10,-0.6573095496504362
1800,0.6402,0.6557111676063893,10,-0.6396102694755363
1801,0.64,0.6961514446926309,10,-0.6259610563687388
1802,0.6397999999999999,-2.212413628931783,10,-0.63123845209566
1803,0.6396,0.705831400884438,10,-0.6219013320782235
1804,0.6394,1.3865319585786386,10,-0.6033412504052272
1805,0.6392,-0.03964591567525305,10,-0.5974018219956694
1806,0.639,2.0951692377193827,10,-0.5544166392312656
1807,0.6388,-0.29073973413466686,10,-0.5486335422203161
1808,0.6386000000000001,-0.37027577547220664,10,-0.5888519403815293
1809,0.6384000000000001,4.434705541740018,10,-0.5523852901482751
1810,0.6382,-1.503980778096541,10,-0.5189354176673151
1811,0.638,-2.2076962944719027,10,-0.5444818236678955
1812,0.6377999999999999,-6.9580703267707875,10,-0.6242891328240685
1813,0.6376,-2.71225956494661,10,-0.6329363612208205
