solution_id,GDP_gain,Inequality_MAD,Emission,Net_security_risk,Total_budget,H_total,Max_digital_after,Min_digital_after,C1_total_budget,C2_region_floor,C3_region_cap,C4_H_floor,C5_fairness,TOPSIS_score,TOPSIS_rank
21,47442.275651570744,0.2619381892599976,2460.775961829937,-3675.9659653890485,49745.37605830142,18021.91079441146,82.00011086196864,55.78511084335018,0.0,0.0,0.0,0.0,0.0,0.5928977716897953,54
22,47438.68057432526,0.27692018418225883,1718.9841382452505,-4102.053140572484,49793.305007443334,18170.570510498263,82.00011615981663,55.78538436627345,0.0,0.0,0.0,0.0,0.0,0.6674169385105153,40
23,46692.545108855746,0.2266745416331036,1629.0925387157433,-4513.408791806246,49630.34636794723,18982.962706409122,82.00000565735745,55.790717099459464,0.0,0.0,0.0,0.0,0.0,0.7792886187785716,22
24,47289.222368591254,0.17788151327494167,3239.0553018147284,-2555.8496040560394,49993.91898008252,16543.716829810168,82.00011654847737,55.77605860350775,0.0,0.0,0.0,0.0,0.0,0.506204714062579,64
25,46762.3820831137,0.1829129221196934,2650.220104190077,-2818.622559645832,49694.03908531145,15970.226835031583,82.00011651936823,55.775108659492844,0.0,0.0,0.0,0.0,0.0,0.5877882038687118,56
26,44354.87712379413,0.2128019117877647,1179.5192645042862,-4093.8544975723366,47899.86282943767,16626.87562092083,82.00011594143056,55.784610215159866,0.0,0.0,0.0,0.0,0.0,0.794488847380996,18
27,47294.903995700355,0.2509554457878804,1069.027825827833,-5150.325565130289,49985.683362837706,19909.82703223912,82.00011095484516,55.7761207894333,0.0,0.0,0.0,0.0,0.0,0.7921221361577062,19
28,47218.40992661528,0.27012652652342245,1031.919588837711,-5053.837720833961,49990.787175662364,19443.879622057746,82.00011615916534,55.784937314897164,0.0,0.0,0.0,0.0,0.0,0.7530952923520873,28
29,47029.99970877074,0.17623863947158483,4683.727221736222,-1869.6499769631598,49936.403322152575,13741.09636693617,82.0001110936909,55.78557220659782,0.0,0.0,0.0,0.0,0.0,0.33441536503483504,70
30,48116.7145419982,0.22730938924007255,3012.908780892718,-3234.670066001363,49844.07841629913,17541.55607364658,82.00011472731275,55.774706932304895,0.0,0.0,0.0,0.0,0.0,0.5367285132364069,61
31,47593.51476755075,0.18645241654716974,2350.4104171564773,-3426.4590547143034,49999.6256477321,16965.16176698687,82.0001213512185,55.77474378237247,0.0,0.0,0.0,0.0,0.0,0.6689025715138884,39
32,46844.38707798705,0.18456135777848087,2680.1697544916474,-2818.622559645832,49765.34777650567,15970.226835031583,82.00011651936823,55.775108659492844,0.0,0.0,0.0,0.0,0.0,0.5832560518528375,58
33,46104.53337684086,0.22420791675798016,1274.7976537228644,-4634.583894240142,49103.797248109026,18740.05007867094,82.00011940476412,55.78473809356595,0.0,0.0,0.0,0.0,0.0,0.8160916196034325,8
34,48038.36605357882,0.27861185528554766,2660.6006219857472,-3361.125701752775,49976.42108991592,17657.501231337184,82.00011441509055,55.78874330859849,0.0,0.0,0.0,0.0,0.0,0.5342216919426123,62
35,46600.34596069607,0.22407729002147075,1920.6761214741457,-3988.5692447378915,49598.927995531165,17157.41663746118,82.00011611397198,55.764562569589415,0.0,0.0,0.0,0.0,0.0,0.7209603797184635,33
36,47207.17873879317,0.2426981267402674,1142.7958836867322,-4991.1500312216,49867.404279418835,19854.84435636313,82.00011396729745,55.785718147370616,0.0,0.0,0.0,0.0,0.0,0.8031160016412598,15
37,47761.30757725007,0.1910599398005154,4607.42245116402,-1592.5474311688376,49954.65902460902,14469.44656351343,82.00011446367748,55.78564389137465,0.0,0.0,0.0,0.0,0.0,0.3040136929436031,71
38,44231.20869016066,0.22282535084664265,1178.4022876299364,-4416.274197958518,47501.01972760691,17770.969396875636,82.00011613982082,55.78478871631199,0.0,0.0,0.0,0.0,0.0,0.7978785930300213,17
39,46409.6740486397,0.2344500618059879,1216.244536150314,-4664.542256736674,49552.231390487854,18691.879744100792,82.00011585281007,55.78473809356595,0.0,0.0,0.0,0.0,0.0,0.8022573181810215,16
40,48173.41206163446,0.21655702840841637,4155.609043028056,-1519.9715568574197,49701.822935662174,15268.448159137733,82.00011139495777,55.78538506680299,0.0,0.0,0.0,0.0,0.0,0.2983196439831793,74
41,46742.05645674688,0.19016362579601284,2097.3872366801593,-3379.450823281828,49754.78908847626,16414.388189649,82.0001110644477,55.77505920114871,0.0,0.0,0.0,0.0,0.0,0.6907480321053561,37
42,46329.512710680916,0.23230837097664245,1218.8386433835958,-4678.13822642612,49446.17579926265,18740.05007867094,82.00011593194695,55.78473809356595,0.0,0.0,0.0,0.0,0.0,0.8066123721970349,12
43,47223.751557251875,0.2701915112869893,1033.344023674138,-5053.837720833961,49995.2385345262,19443.879622057746,82.00011615916534,55.784937314897164,0.0,0.0,0.0,0.0,0.0,0.75293663027057,29
44,44298.38025831563,0.21771425095738503,1022.9633770975598,-4306.730620819978,47826.356684211394,17323.64975659447,82.00011608759714,55.776280019390335,0.0,0.0,0.0,0.0,0.0,0.8076826931507324,11
45,48426.81857303326,0.21854472406059872,4853.31026671245,-1265.592972382146,49991.63402585166,14045.901898113538,82.00011113414193,55.78564734935851,0.0,0.0,0.0,0.0,0.0,0.22945652312830572,86
46,46885.66670228998,0.21308826126615013,1754.4095684306753,-3892.241019098044,49473.920449638215,17678.294341943725,82.000116135494,55.784750258459205,0.0,0.0,0.0,0.0,0.0,0.7483225813293127,30
47,46999.78813106416,0.1973657114856816,2203.7678410377116,-4607.632327686947,49902.73710294448,17955.26454785717,82.0001214996136,55.78495916125375,0.0,0.0,0.0,0.0,0.0,0.7532751279991143,27
48,49051.92682511237,0.24764892638166128,5054.181312902875,-403.04253695164334,49858.26377291253,13961.794516740825,82.00011436457831,55.785634034255054,0.0,0.0,0.0,0.0,0.0,0.14211230937820066,95
49,47363.52204802328,0.27405181163175674,2084.9402800325174,-4035.7694897214687,49632.72342196576,18618.381638615407,82.00000668268605,55.78882452527513,0.0,0.0,0.0,0.0,0.0,0.6362536786511249,45
